Lemma,PoS,Cons,Freq(ipm),Length
Абу,s.PROP,Б,2.9,3
абы,part,Б,1.2,3
б,part,Б,70.5,1
ба,intj,Б,1.8,2
бай,s,Б,1.2,3
бо,conj,Б,1.9,2
боа,s,Б,0.5,3
бой,s,Б,117.0,3
буй,s,Б,0.9,3
бы,part,Б,2322.4,2
бэ,s,Б,0.6,2
ибо,conj,Б,130.0,3
об,pr,Б,714.5,2
ОБ,s.PROP,Б,4.1,2
оба,num,Б,258.1,3
обо,pr,Б,61.5,3
обои,s,Б,10.6,4
Обь,s.PROP,Б,2.1,3
убой,s,Б,1.5,4
баба,s,ББ,81.2,4
бабай,s,ББ,1.0,5
бабий,a,ББ,10.5,5
боб,s,ББ,8.6,3
бэби,s,ББ,0.6,4
баобаб,s,БББ,0.5,6
бобби,s,БББ,2.1,5
бу-бу-бу,intj,БББ,0.8,8
Бабаев,s.PROP,ББВ,1.6,6
бобовый,a,ББВ,0.8,7
баба-яга,s,ББГ,2.5,8
бабка,s,ББК,42.0,5
бобик,s,ББК,1.2,5
бабкин,a,ББКН,1.7,6
Бабель,s.PROP,ББЛ,6.3,6
бабуля,s,ББЛ,4.5,6
библия,s,ББЛ,13.7,6
бобыль,s,ББЛ,1.0,6
библиография,s,ББЛГРФ,1.5,12
библиографический,a,ББЛГРФЧСК,1.6,17
бабулька,s,ББЛК,1.4,8
бублик,s,ББЛК,3.6,6
библейский,a,ББЛСК,10.9,10
библиотека,s,ББЛТК,57.7,10
библиотекарь,s,ББЛТКР,3.1,12
библиотекарша,s,ББЛТКРШ,1.7,13
библиотечка,s,ББЛТЧК,0.6,11
библиотечный,a,ББЛТЧН,3.6,12
библиофил,s,ББЛФЛ,0.5,9
бобина,s,ББН,0.6,6
бубен,s,ББН,2.9,5
бубна,s,ББН,0.8,5
бубновый,a,ББНВ,0.9,8
бабенка,s,ББНК,2.3,7
бабник,s,ББНК,2.5,6
бабонька,s,ББНК,0.6,8
бубнить,v,ББНТ,4.5,7
бубенец,s,ББНЦ,1.0,7
бубенчик,s,ББНЧК,1.3,8
бобер,s,ББР,2.6,5
Бобров,s.PROP,ББРВ,2.5,6
бобровый,a,ББРВ,1.2,8
аббревиатура,s,ББРВТР,3.5,12
бобрик,s,ББРК,0.5,6
обобрать,v,ББРТ,2.1,8
обобраться,v,ББРТС,1.1,10
бабуся,s,ББС,3.5,6
Би-Би-Си,s.PROP,ББС,3.0,8
бабский,a,ББСК,1.4,7
аббат,s,ББТ,1.6,5
аббатство,s,ББТСТВ,0.9,9
бабетта,s,ББТТ,0.4,7
бабах,intj,ББХ,0.4,5
ба-бах,intj,ББХ,0.4,6
бабахнуть,v,ББХНТ,0.9,9
Бабич,s.PROP,ББЧ,1.7,5
бабочка,s,ББЧК,21.3,7
бабушка,s,ББШК,101.8,7
бабушкин,a,ББШКН,7.0,8
бабища,s,ББЩ,0.5,6
обобщение,s,ББЩН,10.6,9
обобщенно,adv,ББЩНН,0.4,9
обобщенный,a,ББЩНН,8.2,10
обобщенность,s,ББЩННСТ,0.4,12
обобществление,s,ББЩСТВЛН,0.5,14
обобщать,v,ББЩТ,5.4,8
обобщить,v,ББЩТ,3.9,8
