Lemma,PoS,Cons,Freq(ipm),Length
бабий,a,ББ,10.5,5
бобовый,a,ББВ,0.8,7
бабкин,a,ББКН,1.7,6
библиографический,a,ББЛГРФЧСК,1.6,17
библейский,a,ББЛСК,10.9,10
библиотечный,a,ББЛТЧН,3.6,12
бубновый,a,ББНВ,0.9,8
бобровый,a,ББРВ,1.2,8
бабский,a,ББСК,1.4,7
бабушкин,a,ББШКН,7,8
обобщенный,a,ББЩНН,8.2,10
боевой,a,БВ,139.6,6
обводной,a,БВДН,0.7,8
бывалый,a,БВЛ,5.4,7
обволакивающий,a,БВЛКВЩ,0.8,14
обвальный,a,БВЛН,1.4,9
обувной,a,БВН,3.3,7
обвинительный,a,БВНТЛН,5.6,13
обворожительный,a,БВРЖТЛН,1.5,15
баварский,a,БВРСК,2,9
обвислый,a,БВСЛ,0.7,8
обывательский,a,БВТЛСК,2.5,13
обветренный,a,БВТРНН,1.1,11
обветшалый,a,БВТШЛ,1,10
бывший,a,БВШ,191.5,6
убывающий,a,БВЩ,0.9,9
убогий,a,БГ,11.7,6
богобоязненный,a,БГБЗННН,0.6,14
беговой,a,БГВ,2.7,7
богоявленский,a,БГВЛНСК,1.5,13
богоугодный,a,БГГДН,1.1,11
багдадский,a,БГДДСК,0.8,10
богдановский,a,БГДНВСК,0.6,12
богоданный,a,БГДНН,0.6,10
багажный,a,БГЖН,2.4,8
беглый,a,БГЛ,6.8,6
богомольный,a,БГМЛН,0.5,11
богемный,a,БГМН,2.1,8
богемский,a,БГМСК,0.5,9
биогенный,a,БГНН,0.5,9
багровый,a,БГРВ,6.9,8
богородский,a,БГРДСК,0.6,11
богородичный,a,БГРДЧН,1.8,12
обгорелый,a,БГРЛ,2,9
багряный,a,БГРН,1.1,8
бугристый,a,БГРСТ,1.7,9
биографический,a,БГРФЧСК,4.5,14
богословский,a,БГСЛВСК,9.4,12
богослужебный,a,БГСЛЖБН,2.1,13
богатый,a,БГТ,85,7
боеготовый,a,БГТВ,0.6,10
богатенький,a,БГТНК,1.2,11
богатырский,a,БГТРСК,2.4,11
обогатительный,a,БГТТЛН,1.8,14
богатейший,a,БГТШ,5.6,10
бедовый,a,БДВ,1,7
буддийский,a,БДДСК,3.2,10
буддистский,a,БДДСТСК,1,11
бюджетный,a,БДЖТН,44.4,9
обдуманный,a,БДМНН,1,10
бедный,a,БДН,84,6
обидный,a,БДН,12.1,7
обоюдный,a,БДН,4.5,8
будний,a,БДН,1.8,6
обыденный,a,БДНН,10.5,9
обеденный,a,БДНН,9.2,9
буденновский,a,БДННВСК,0.6,12
бедненький,a,БДННК,1.8,10
объединительный,a,БДНТЛН,1.1,15
бедняцкий,a,БДНЦК,0.5,9
будничный,a,БДНЧН,4.9,9
беднейший,a,БДНШ,1.1,9
будапештский,a,БДПШТСК,0.6,12
бодрый,a,БДР,14.6,6
бедренный,a,БДРНН,1.4,9
бодрящий,a,БДРЩ,1.2,8
ободряющий,a,БДРЩ,0.9,10
бедственный,a,БДСТВНН,2.3,11
бедствующий,a,БДСТВЩ,0.6,11
обоюдоострый,a,БДСТР,0.8,12
убедительный,a,БДТЛН,15.2,12
бдительный,a,БДТЛН,5.6,10
обидчивый,a,БДЧВ,2,9
будущий,a,БДЩ,111.7,7
божий,a,БЖ,99.9,5
бежевый,a,БЖВ,3.5,7
убежденный,a,БЖДНН,19,10
баженовский,a,БЖНВСК,2.9,11
обиженный,a,БЖНН,5.2,9
божеский,a,БЖСК,1.7,8
божественный,a,БЖСТВНН,35.9,12
обжитой,a,БЖТ,2.4,7
безобидный,a,БЗБДН,8.1,10
безбедный,a,БЗБДН,1,9
безбожный,a,БЗБЖН,1.8,9
обезболивающий,a,БЗБЛВЩ,1.2,14
безболезненный,a,БЗБЛЗННН,1.6,14
безбилетный,a,БЗБЛТН,0.5,11
безоблачный,a,БЗБЛЧН,3.5,11
безбородый,a,БЗБРД,0.6,10
безбрежный,a,БЗБРЖН,2.2,10
безобразный,a,БЗБРЗН,6.9,11
базовый,a,БЗВ,28.4,7
бязевый,a,БЗВ,0.6,7
безводный,a,БЗВДН,0.9,9
безвизовый,a,БЗВЗВ,1.2,10
безвозвратный,a,БЗВЗВРТН,1.1,13
безвоздушный,a,БЗВЗДШН,1.1,12
безвозмездный,a,БЗВЗМЗДН,4.1,13
безвкусный,a,БЗВКСН,2.6,10
безвольный,a,БЗВЛН,2.8,10
безволосый,a,БЗВЛС,0.5,10
безвинный,a,БЗВНН,1.4,9
безвредный,a,БЗВРДН,3.2,10
безвременный,a,БЗВРМНН,1.4,12
безаварийный,a,БЗВРН,0.6,12
безвестный,a,БЗВСТН,3.6,10
безветренный,a,БЗВТРНН,1.3,12
безвыходный,a,БЗВХДН,3.7,11
безоговорочный,a,БЗГВРЧН,3.3,14
безголовый,a,БЗГЛВ,0.8,10
безоглядный,a,БЗГЛДН,1.4,11
безглазый,a,БЗГЛЗ,0.9,9
безголосый,a,БЗГЛС,0.6,10
безгласный,a,БЗГЛСН,0.8,10
безграмотный,a,БЗГРМТН,2.8,12
безграничный,a,БЗГРНЧН,7.6,12
безгрешный,a,БЗГРШН,2,10
бездоказательный,a,БЗДКЗТЛН,0.5,16
обездоленный,a,БЗДЛНН,1.7,12
бездомный,a,БЗДМН,7,9
бездумный,a,БЗДМН,2.6,9
безыдейный,a,БЗДН,0.6,10
безденежный,a,БЗДНЖН,1,11
бездонный,a,БЗДНН,6.5,9
безудержный,a,БЗДРЖН,3.7,11
